method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA,500,50,3,0.5,1,0.1,0.14619404351930934,4.1628378225243306e-4,0.16738528713811548,0.0017374957396975661,0.2286,0.006903402762186898,0,0,0.663926302037449,NA
EFA,500,50,3,0.5,1,1,0.9701513778032955,0.0010610709257904236,0.8501265779483611,0.009397151357881342,0.4009,0.005293592467514024,0,0,0.6398559035863367,NA
EFA,500,50,3,0.5,1,5,5.0513876792044705,0.0046413917979687535,3.5226095520007625,0.030702556276487297,0.4978,0.006139094790641764,0.0092,0.0018514531557343784,0.5327674195501878,NA
EFA,500,50,3,0.5,2,0.1,0.1699279673581501,3.0966079145664687e-4,0.1800166278723613,0.0025809055271175845,0.2474,0.0064159208539414205,0,0,0.6628350374225623,NA
EFA,500,50,3,0.5,2,1,0.9663164816871457,0.0010268953696192797,0.9065193089504344,0.010060683148868073,0.4078,0.0051787834459260775,0,0,0.6193532934022425,NA
EFA,500,50,3,0.5,2,5,5.018704486050644,0.004377752799418975,3.569378379432034,0.03156766025509228,0.5262,0.004766846786170948,0.0846,0.005719751354347107,0.45439924098226014,NA
EFA,500,50,3,0.8,0,0.1,0.10767919107826221,4.7865396484805735e-4,0.39116701485791805,0.00724087298603014,0.4537272727272727,0.012086102733667099,0,0,0.3314118647806021,NA
EFA,500,50,3,0.8,0,1,0.9745710739390562,9.973086502873974e-4,1.2637691145829275,0.009976751004422618,0.5688181818181818,0.0054960997486200956,0,0,0.32348046500288175,NA
EFA,500,50,3,0.8,0,5,5.036066663437604,0.004867668701900819,3.040983979322032,0.018752886352114594,0.6592727272727272,0.006934851208370943,7.5e-4,4.2861651999441324e-4,0.2825501390933847,NA
EFA,500,50,3,0.8,1,0.1,0.10791449172536487,4.297825577715987e-4,0.39128308607804463,0.0051615595584934525,0.4476363636363636,0.011194700187879929,0,0,0.33359192859526526,NA
EFA,500,50,3,0.8,1,1,0.9755768621868962,0.001153824270754914,1.2507156372965949,0.010228023384049774,0.5726363636363636,0.004922803349796708,0,0,0.32519230889402667,NA
EFA,500,50,3,0.8,1,5,5.032892659320937,0.0043641820339037525,3.066094795043319,0.01892440121373669,0.6550909090909091,0.006614900446884833,0.0022500000000000003,7.190587281616534e-4,0.2793346221101419,NA
